initial_phase,phase_shift,dlmo_collection_method
-17.162351294611618,-0.9378531073446315,plasma
-14.181245626312107,-0.5898305084745772,plasma
-13.59342197340798,0.10169491525423746,plasma
-14.475157452764172,0.9920903954802256,plasma
-11.871938418474459,1.2,plasma
-9.058782365290416,0.2824858757062141,plasma
-10.318404478656404,-0.17853107344632857,plasma
-4.692092372288325,0.5943502824858751,plasma
-3.264520643806865,0.19209039548022533,plasma
-2.067879636109172,-0.4000000000000008,plasma
-3.7263820853743788,-1.046327683615818,plasma
0.0734779566130257,-1.227118644067799,plasma
-0.3044086773967791,-2.022598870056502,plasma
1.3960811756473,-1.2180790960451944,plasma
5.006997900629813,-1.4440677966101703,plasma
6.79146256123164,-0.9333333333333353,plasma
6.0566829951014824,-0.19661016949152588,plasma
9.77256822953115,-0.589830508474579,plasma
10.402379286214124,0.09717514124293736,plasma
13.63540937718685,-0.1830508474576269,plasma
14.916025192442266,0.28248587570621364,plasma
12.102869139258242,1.1999999999999993,plasma
9.541637508747367,0.992090395480226,plasma
-17.981105668299513,-0.187570621468927,plasma
-9.81455563331001,-0.3683615819209045,saliva
-6.896431070678801,1.0915254237288137,saliva
17.099370188943308,1.087005649717514,saliva
14.181245626312116,-0.36836158192090407,saliva
